year,month,median_difference,lower_95a,upper_95a,lower_95b,upper_95b,lower_95c,upper_95c,lower_95d,upper_95d,lower_95e,upper_95e
1868,7,0.147,0.063,0.212,-0.012,0.306,-0.083,0.377,-0.03,0.321,-0.143,0.435
1868,8,-0.034,-0.127,0.026,-0.191,0.122,-0.315,0.247,-0.216,0.133,-0.371,0.29
1868,9,-0.199,-0.276,-0.143,-0.357,-0.04,-0.485,0.088,-0.375,-0.028,-0.535,0.134
1868,10,-0.236,-0.315,-0.172,-0.396,-0.076,-0.531,0.059,-0.415,-0.064,-0.582,0.105
1868,11,-0.504,-0.574,-0.444,-0.664,-0.344,-0.808,-0.201,-0.679,-0.332,-0.854,-0.155
1868,12,-0.124,-0.216,-0.053,-0.289,0.041,-0.506,0.258,-0.31,0.054,-0.55,0.296
1869,1,-0.266,-0.36,-0.198,-0.429,-0.103,-0.816,0.285,-0.449,-0.089,-0.848,0.312
1869,2,0.268,0.182,0.328,0.087,0.449,-0.21,0.746,0.062,0.455,-0.258,0.776
1869,3,-0.589,-0.668,-0.522,-0.75,-0.427,-0.9,-0.278,-0.764,-0.412,-0.945,-0.23
1869,4,-0.23,-0.297,-0.163,-0.39,-0.07,-0.446,-0.014,-0.403,-0.054,-0.506,0.049
